corpus,chunk1,chunk2,chunk3
rendben,ren,db,en
valami,va,la,mi
köszönöm,kösz,ön,öm
valamit,va,la,mit
valamit,va,lam,it
valamit,val,am,it
semmit,se,mm,it
szerintem,szer,int,em
láttam,lá,tt,am
istenem,is,te,nem
istenem,is,ten,em
istenem,ist,en,em
akartam,ak,art,am
akartam,aka,rt,am
hittem,hi,tt,em
annyira,ann,yi,ra
igazán,ig,az,án
gondoltam,gon,dol,tam
jobban,jo,bb,an
teljesen,tel,je,sen
egyedül,egy,ed,ül
mondani,mon,da,ni
tovább,to,vá,bb
pontosan,pont,os,an
tudjuk,tu,dj,uk
remélem,rem,él,em
hallottam,hall,ot,tam
hallottam,hall,ott,am
hallottam,hallo,tt,am
azonnal,az,onn,al
magának,mag,án,ak
csinálni,csi,nál,ni
csinálni,csin,ál,ni
érdekel,ér,de,kel
gondolom,gon,dol,om
biztosan,biz,to,san
egyáltalán,egy,ál,talán
egyáltalán,egy,által,án
halott,ha,lo,tt
szeretem,szer,et,em
szerinted,sze,rin,ted
szerinted,szer,in,ted
szerinted,szer,int,ed
mondott,mon,do,tt
majdnem,ma,jd,nem
valakit,val,ak,it
valaha,va,la,ha
tettem,te,tt,em
barátom,ba,rá,tom
dolgokat,dol,go,kat
drágám,dr,ág,ám
jelenti,jel,en,ti
mindjárt,min,dj,árt
maradj,ma,ra,dj
valóban,va,ló,ban
természetesen,természet,es,en
tökéletes,tök,élet,es
teljes,te,lj,es
találtam,tal,ál,tam
vettem,ve,tt,em
sikerült,sik,er,ült
egyszerűen,egy,szerű,en
igazad,ig,az,ad
hamarosan,ha,mar,osan
hamarosan,hamar,os,an
bocsánat,bo,csá,nat
bocsánat,bocs,án,at
doktor,do,kt,or
egymást,egy,má,st
életem,él,et,em
pillanat,pil,la,nat
pillanat,pil,lan,at
kapcsolatban,kapcsol,at,ban
szívesen,szív,es,en
ismerem,is,me,rem
ismerem,is,mer,em
rendőrség,rend,őrs,ég
láttad,lá,tt,ad
gondolja,gon,dol,ja
fekete,fe,ke,te
azokat,az,ok,at
mindketten,mind,ket,ten
várjon,vá,rj,on
hatalmas,ha,tal,mas
hatalmas,hat,al,mas
fiatal,fi,at,al
érdekes,ér,de,kes
ketten,ke,tt,en
valahol,va,la,hol
csináltam,csi,nál,tam
csináltam,csin,ál,tam
fordította,fordít,ot,ta
igazat,ig,az,at
egészen,eg,és,zen
egészen,eg,ész,en
mondjuk,mon,dj,uk
titeket,ti,te,ket
veszélyes,ve,szél,yes
veszélyes,vesz,él,yes
magukat,ma,gu,kat
magukat,mag,uk,at
rengeteg,ren,get,eg
éreztem,ér,ezt,em
amerikai,am,erik,ai
amerikai,ame,ri,kai
valahogy,va,la,hogy
barátok,ba,rá,tok
szereti,sze,re,ti
kapott,ka,po,tt
szeretnél,szer,et,nél
ismeri,is,me,ri
értettem,ér,tett,em
értettem,érte,tt,em
ugyanaz,ugy,an,az
mindannyian,min,danny,ian
mindannyian,mind,annyi,an
értelme,ér,tel,me
hallani,hal,la,ni
szeretne,szer,et,ne
lássuk,lá,ss,uk
ismered,is,me,red
ismered,is,mer,ed
egészet,eg,ész,et
talált,ta,lá,lt
valakinek,val,aki,nek
dollár,do,ll,ár
tartok,ta,rt,ok
mondanom,mon,dan,om
mondanom,mond,an,om
városban,vár,os,ban
lassan,la,ss,an
számomra,szám,om,ra
tettél,te,tt,él
maradjon,mar,ad,jon
maradjon,mar,adj,on
maradjon,mara,dj,on
hallom,ha,ll,om
gondolok,gon,dol,ok
őszintén,ősz,int,én
csinálja,csi,nál,ja
csinálja,csin,ál,ja
tudott,tu,do,tt
életet,él,et,et
hozott,ho,zo,tt
nyugodtan,nyu,god,tan
jutott,ju,to,tt
üzenetet,üzen,et,et
találni,tal,ál,ni
látott,lá,to,tt
ilyesmi,il,yes,mi
ilyesmi,ily,es,mi
titkos,ti,tk,os
szereted,sze,re,ted
szereted,szer,et,ed
normális,norm,ál,is
szeretné,szer,et,né
csinálok,csi,nál,ok
csinálok,csin,ál,ok
hallgass,hall,ga,ss
maradni,mar,ad,ni
rajtam,ra,jt,am
világon,vi,lá,gon
őszinte,ősz,in,te
mondjam,mon,dj,am
valódi,va,ló,di
picsába,pi,csá,ba
igenis,ig,en,is
személyes,sze,mély,es
személyes,szem,él,yes
csináltál,csi,nál,tál
csináltál,csin,ál,tál
rajtad,ra,jt,ad
egyenesen,egye,ne,sen
egyenesen,egyen,es,en
hallottad,hall,ot,tad
hallottad,hall,ott,ad
hallottad,hallo,tt,ad
maradok,ma,ra,dok
maradok,mar,ad,ok
életed,él,et,ed
baleset,bal,es,et
mostantól,mo,stan,tól
mostantól,mos,tan,tól
mostantól,most,an,tól
nyugalom,nyu,gal,om
hónapja,hó,nap,ja
dollárt,do,ll,árt
dollárt,dol,lá,rt
magunkat,ma,gun,kat
magunkat,mag,un,kat
akartál,ak,art,ál
akartál,aka,rt,ál
barátod,ba,rá,tod
haragudj,ha,ragu,dj
haragudj,hara,gu,dj
történet,tört,én,et
világot,vi,lá,got
bármilyen,bár,mily,en
magadra,mag,ad,ra
ártatlan,árt,at,lan
hasonló,ha,son,ló
hasonló,has,on,ló
